team,league,latitude,longitude,altitude,country,city,stadium
Chelsea,E0,51.4792191,-0.1808217,0.0,England,Chelsea,Unknown
Crystal Palace,E0,51.4191635,-0.0687969,0.0,England,Palace,Unknown
Everton,E0,53.4084,-2.9916,0.0,England,Liverpool,Unknown
Fulham,E0,51.482781,-0.1912833,0.0,England,Fulham,Unknown
Huddersfield,E0,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown
Hull,E0,53.7462258,-0.3678239,0.0,England,Hull,Unknown
Ipswich,E0,52.0549518,1.1452848,0.0,England,Ipswich,Unknown
Leeds,E0,53.7778612,-1.5721775,0.0,England,Leeds,Unknown
Leicester,E0,52.620397,-1.1423352,0.0,England,Leicester,Unknown
Liverpool,E0,53.4084,-2.9916,0.0,England,Liverpool,Unknown
Luton,E0,51.8841259,-0.4316701,0.0,England,Luton,Unknown
Man City,E0,53.4808,-2.2426,0.0,England,Manchester,Unknown
Man United,E0,53.4808,-2.2426,0.0,England,Manchester,Unknown
Middlesbrough,E0,54.5783134,-1.2169153,0.0,England,Middlesbrough,Unknown
Newcastle,E0,54.9783,-1.6178,0.0,England,Newcastle,Unknown
Norwich,E0,52.6220315,1.3093222,0.0,England,Norwich,Unknown
Nott'm Forest,E0,52.94,-1.132778,0.0,England,Forest,Unknown
QPR,E0,51.5074,-0.1278,0.0,England,London,Unknown
Reading,E0,51.4223346,-0.9831238,0.0,England,Reading,Unknown
Sheffield United,E0,53.4286674,-1.370864,0.0,England,Sheffield,Unknown
Southampton,E0,50.9058615,-1.3908774,0.0,England,Southampton,Unknown
Stoke,E0,52.0549518,1.1452848,0.0,England,Stoke,Unknown
Sunderland,E0,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown
Swansea,E0,51.6428065,-3.934739,0.0,England,Swansea,Unknown
Tottenham,E0,51.604157,-0.0662604,0.0,England,Tottenham,Unknown
Watford,E0,51.6497589,-0.4013489,0.0,England,Watford,Unknown
West Brom,E0,52.5181,-1.9945,0.0,England,West Bromwich,Unknown
West Ham,E0,51.5074,-0.1278,0.0,England,London,Unknown
Wigan,E0,53.5477333,-2.6540131,0.0,England,Wigan,Unknown
Wolves,E0,52.6076564,-2.1494975,0.0,England,Wolves,Unknown
Aston Villa,E1,52.5091264,-1.8850354,0.0,England,Villa,Unknown
Barnsley,E1,53.5521491,-1.4677429,0.0,England,Barnsley,Unknown
Birmingham,E1,52.4797407,-1.9150322,0.0,England,Birmingham,Unknown
Blackburn,E1,53.7486,-2.4875,0.0,England,Blackburn,Unknown
Blackpool,E1,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown
Bolton,E1,53.5805396,-2.5356648,0.0,England,Bolton,Unknown
Bournemouth,E1,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown
Brentford,E1,51.490713,-0.2889802,0.0,England,Brentford,Unknown
Brighton,E1,50.8615471,-0.0836931,0.0,England,Brighton,Unknown
Bristol City,E1,51.4398694,-2.6203405,0.0,England,Bristol,Unknown
Burnley,E1,53.8054523,-2.2952421,0.0,England,Burnley,Unknown
Burton,E1,52.8218506,-1.6269256,0.0,England,Burton,Unknown
Cardiff,E1,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown
Charlton,E1,51.4794928,0.0527221,0.0,England,Charlton,Unknown
Coventry,E1,52.4481581,-1.4970174,0.0,England,Coventry,Unknown
Crystal Palace,E1,51.4191635,-0.0687969,0.0,England,Palace,Unknown
Derby,E1,52.9149454,-1.4473191,0.0,England,Derby,Unknown
Doncaster,E1,53.5890159,-1.0298081,0.0,England,Doncaster,Unknown
Fulham,E1,51.482781,-0.1912833,0.0,England,Fulham,Unknown
Huddersfield,E1,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown
Hull,E1,53.7462258,-0.3678239,0.0,England,Hull,Unknown
Ipswich,E1,52.0549518,1.1452848,0.0,England,Ipswich,Unknown
Leeds,E1,53.7778612,-1.5721775,0.0,England,Leeds,Unknown
Leicester,E1,52.620397,-1.1423352,0.0,England,Leicester,Unknown
Luton,E1,51.8841259,-0.4316701,0.0,England,Luton,Unknown
Middlesbrough,E1,54.5783134,-1.2169153,0.0,England,Middlesbrough,Unknown
Millwall,E1,51.4855805,-0.0513983,0.0,England,Millwall,Unknown
Milton Keynes Dons,E1,52.0460472,-0.7466835,0.0,England,Dons,Unknown
Newcastle,E1,54.9783,-1.6178,0.0,England,Newcastle,Unknown
Norwich,E1,52.6220315,1.3093222,0.0,England,Norwich,Unknown
Nott'm Forest,E1,52.94,-1.132778,0.0,England,Forest,Unknown
Oxford,E1,51.7265293,-1.1998903,0.0,England,Oxford,Unknown
Peterboro,E1,52.5695,-0.2405,0.0,England,Peterborough,Unknown
Plymouth,E1,50.3755,-4.1427,0.0,England,Plymouth,Unknown
Portsmouth,E1,50.8198,-1.088,0.0,England,Portsmouth,Unknown
Preston,E1,53.7722148,-2.6885609,0.0,England,Preston,Unknown
QPR,E1,51.5074,-0.1278,0.0,England,London,Unknown
Reading,E1,51.4223346,-0.9831238,0.0,England,Reading,Unknown
Rotherham,E1,53.4267854,-1.362678,0.0,England,Rotherham,Unknown
Scunthorpe,E1,53.5825219,-0.6783354,0.0,England,Scunthorpe,Unknown
Sheffield United,E1,53.4286674,-1.370864,0.0,England,Sheffield,Unknown
Sheffield Weds,E1,53.41138889,-1.500555556,0.0,England,Weds,Unknown
Southampton,E1,50.9058615,-1.3908774,0.0,England,Southampton,Unknown
Stoke,E1,52.0549518,1.1452848,0.0,England,Stoke,Unknown
Sunderland,E1,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown
Swansea,E1,51.6428065,-3.934739,0.0,England,Swansea,Unknown
Watford,E1,51.6497589,-0.4013489,0.0,England,Watford,Unknown
West Brom,E1,52.5181,-1.9945,0.0,England,West Bromwich,Unknown
West Ham,E1,51.5074,-0.1278,0.0,England,London,Unknown
Wigan,E1,53.5477333,-2.6540131,0.0,England,Wigan,Unknown
Wolves,E1,52.6076564,-2.1494975,0.0,England,Wolves,Unknown
Wrexham,E1,53.0443125,-2.9766849,0.0,England,Wrexham,Unknown
Wycombe,E1,51.6304108,-0.8002826,0.0,England,Wycombe,Unknown
Yeovil,E1,50.9420451,-2.6318629,0.0,England,Yeovil,Unknown
AFC Wimbledon,E2,51.4315282,-0.1867047,0.0,England,Wimbledon,Unknown
Accrington,E2,53.7654011,-2.370969,0.0,England,Accrington,Unknown
Barnsley,E2,53.5521491,-1.4677429,0.0,England,Barnsley,Unknown
Birmingham,E2,52.4797407,-1.9150322,0.0,England,Birmingham,Unknown
Blackburn,E2,53.7486,-2.4875,0.0,England,Blackburn,Unknown
Blackpool,E2,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown
Bolton,E2,53.5805396,-2.5356648,0.0,England,Bolton,Unknown
Bournemouth,E2,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown
Bradford,E2,53.795,-1.7594,0.0,England,Bradford,Unknown
Brentford,E2,51.490713,-0.2889802,0.0,England,Brentford,Unknown
Brighton,E2,50.8615471,-0.0836931,0.0,England,Brighton,Unknown
Bristol City,E2,51.4398694,-2.6203405,0.0,England,Bristol,Unknown
Bristol Rvs,E2,51.486111,-2.583611,0.0,England,Bristol,Unknown
Burton,E2,52.8218506,-1.6269256,0.0,England,Burton,Unknown
Bury,E2,53.5805538,-2.2949212,0.0,England,Bury,Unknown
Cambridge,E2,52.2120297,0.1541831,0.0,England,Cambridge,Unknown
Cardiff,E2,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown
