team_name,league,latitude,longitude,altitude,country,city,stadium,status,coord_source
Sandhausen,D2,49.3341259,8.6469914,0.0,Germany,Sandhausen,Unknown,success,stadium_coordinates
Schalke 04,D2,51.5580634,7.0634587,0.0,Germany,Gelsenkirchen,Unknown,success,stadium_coordinates
St Pauli,D2,53.5546486,9.9690494,0.0,Germany,St Pauli,Unknown,success,stadium_coordinates
Stuttgart,D2,48.7922487,9.2320857,0.0,Germany,Stuttgart,Unknown,success,stadium_coordinates
Ulm,D2,48.4011,9.9876,0.0,Germany,Ulm,Unknown,success,city_manual
Union Berlin,D2,52.52,13.405,0.0,Germany,Berlin,Unknown,success,city_manual
Wehen,D2,50.152338,8.1836014,0.0,Germany,Wehen,Unknown,success,stadium_coordinates
Werder Bremen,D2,53.057718,8.8523703,0.0,Germany,Bremen,Unknown,success,stadium_coordinates
Wurzburger Kickers,D2,49.7790965,9.9621004,0.0,Germany,Kickers,Unknown,success,stadium_coordinates
Arsenal,E0,51.5074,-0.1278,0.0,England,London,Unknown,success,city_manual
Aston Villa,E0,52.5091264,-1.8850354,0.0,England,Villa,Unknown,success,stadium_coordinates
Blackburn,E0,53.7486,-2.4875,0.0,England,Blackburn,Unknown,success,city_manual
Bolton,E0,53.5805396,-2.5356648,0.0,England,Bolton,Unknown,success,stadium_coordinates
Bournemouth,E0,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown,success,stadium_coordinates
Brentford,E0,51.490713,-0.2889802,0.0,England,Brentford,Unknown,success,stadium_coordinates
Brighton,E0,50.8615471,-0.0836931,0.0,England,Brighton,Unknown,success,stadium_coordinates
Burnley,E0,53.8054523,-2.2952421,0.0,England,Burnley,Unknown,success,stadium_coordinates
Cardiff,E0,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown,success,stadium_coordinates
Chelsea,E0,51.4792191,-0.1808217,0.0,England,Chelsea,Unknown,success,stadium_coordinates
Crystal Palace,E0,51.4191635,-0.0687969,0.0,England,Palace,Unknown,success,stadium_coordinates
Everton,E0,53.4084,-2.9916,0.0,England,Liverpool,Unknown,success,city_manual
Fulham,E0,51.482781,-0.1912833,0.0,England,Fulham,Unknown,success,stadium_coordinates
Huddersfield,E0,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown,success,stadium_coordinates
Hull,E0,53.7462258,-0.3678239,0.0,England,Hull,Unknown,success,stadium_coordinates
Ipswich,E0,52.0549518,1.1452848,0.0,England,Ipswich,Unknown,success,stadium_coordinates
Leeds,E0,53.7778612,-1.5721775,0.0,England,Leeds,Unknown,success,stadium_coordinates
Leicester,E0,52.620397,-1.1423352,0.0,England,Leicester,Unknown,success,stadium_coordinates
Liverpool,E0,53.4084,-2.9916,0.0,England,Liverpool,Unknown,success,city_manual
Luton,E0,51.8841259,-0.4316701,0.0,England,Luton,Unknown,success,stadium_coordinates
Man City,E0,53.4808,-2.2426,0.0,England,Manchester,Unknown,success,stadium_coordinates
Man United,E0,53.4808,-2.2426,0.0,England,Manchester,Unknown,success,stadium_coordinates
Middlesbrough,E0,54.5783134,-1.2169153,0.0,England,Middlesbrough,Unknown,success,stadium_coordinates
Newcastle,E0,54.9783,-1.6178,0.0,England,Newcastle,Unknown,success,stadium_coordinates
Norwich,E0,52.6220315,1.3093222,0.0,England,Norwich,Unknown,success,stadium_coordinates
Nott'm Forest,E0,52.94,-1.132778,0.0,England,Forest,Unknown,success,stadium_coordinates
QPR,E0,51.5074,-0.1278,0.0,England,London,Unknown,success,stadium_coordinates
Reading,E0,51.4223346,-0.9831238,0.0,England,Reading,Unknown,success,stadium_coordinates
Sheffield United,E0,53.4286674,-1.370864,0.0,England,Sheffield,Unknown,success,stadium_coordinates
Southampton,E0,50.9058615,-1.3908774,0.0,England,Southampton,Unknown,success,stadium_coordinates
Stoke,E0,52.0549518,1.1452848,0.0,England,Stoke,Unknown,success,stadium_coordinates
Sunderland,E0,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown,success,stadium_coordinates
Swansea,E0,51.6428065,-3.934739,0.0,England,Swansea,Unknown,success,stadium_coordinates
Tottenham,E0,51.604157,-0.0662604,0.0,England,Tottenham,Unknown,success,stadium_coordinates
Watford,E0,51.6497589,-0.4013489,0.0,England,Watford,Unknown,success,stadium_coordinates
West Brom,E0,52.5181,-1.9945,0.0,England,West Bromwich,Unknown,success,city_manual
West Ham,E0,51.5074,-0.1278,0.0,England,London,Unknown,success,city_manual
Wigan,E0,53.5477333,-2.6540131,0.0,England,Wigan,Unknown,success,stadium_coordinates
Wolves,E0,52.6076564,-2.1494975,0.0,England,Wolves,Unknown,success,stadium_coordinates
Aston Villa,E1,52.5091264,-1.8850354,0.0,England,Villa,Unknown,success,stadium_coordinates
Barnsley,E1,53.5521491,-1.4677429,0.0,England,Barnsley,Unknown,success,stadium_coordinates
Birmingham,E1,52.4797407,-1.9150322,0.0,England,Birmingham,Unknown,success,stadium_coordinates
Blackburn,E1,53.7486,-2.4875,0.0,England,Blackburn,Unknown,success,city_manual
Blackpool,E1,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown,success,stadium_coordinates
Bolton,E1,53.5805396,-2.5356648,0.0,England,Bolton,Unknown,success,stadium_coordinates
Bournemouth,E1,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown,success,stadium_coordinates
Brentford,E1,51.490713,-0.2889802,0.0,England,Brentford,Unknown,success,stadium_coordinates
Brighton,E1,50.8615471,-0.0836931,0.0,England,Brighton,Unknown,success,stadium_coordinates
Bristol City,E1,51.4398694,-2.6203405,0.0,England,Bristol,Unknown,success,stadium_coordinates
Burnley,E1,53.8054523,-2.2952421,0.0,England,Burnley,Unknown,success,stadium_coordinates
Burton,E1,52.8218506,-1.6269256,0.0,England,Burton,Unknown,success,stadium_coordinates
Cardiff,E1,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown,success,stadium_coordinates
Charlton,E1,51.4794928,0.0527221,0.0,England,Charlton,Unknown,success,stadium_coordinates
Coventry,E1,52.4481581,-1.4970174,0.0,England,Coventry,Unknown,success,stadium_coordinates
Crystal Palace,E1,51.4191635,-0.0687969,0.0,England,Palace,Unknown,success,stadium_coordinates
Derby,E1,52.9149454,-1.4473191,0.0,England,Derby,Unknown,success,stadium_coordinates
Doncaster,E1,53.5890159,-1.0298081,0.0,England,Doncaster,Unknown,success,stadium_coordinates
Fulham,E1,51.482781,-0.1912833,0.0,England,Fulham,Unknown,success,stadium_coordinates
Huddersfield,E1,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown,success,stadium_coordinates
Hull,E1,53.7462258,-0.3678239,0.0,England,Hull,Unknown,success,stadium_coordinates
Ipswich,E1,52.0549518,1.1452848,0.0,England,Ipswich,Unknown,success,stadium_coordinates
Leeds,E1,53.7778612,-1.5721775,0.0,England,Leeds,Unknown,success,stadium_coordinates
Leicester,E1,52.620397,-1.1423352,0.0,England,Leicester,Unknown,success,stadium_coordinates
Luton,E1,51.8841259,-0.4316701,0.0,England,Luton,Unknown,success,stadium_coordinates
Middlesbrough,E1,54.5783134,-1.2169153,0.0,England,Middlesbrough,Unknown,success,stadium_coordinates
Millwall,E1,51.4855805,-0.0513983,0.0,England,Millwall,Unknown,success,stadium_coordinates
Milton Keynes Dons,E1,52.0460472,-0.7466835,0.0,England,Dons,Unknown,success,stadium_coordinates
Newcastle,E1,54.9783,-1.6178,0.0,England,Newcastle,Unknown,success,stadium_coordinates
Norwich,E1,52.6220315,1.3093222,0.0,England,Norwich,Unknown,success,stadium_coordinates
Nott'm Forest,E1,52.94,-1.132778,0.0,England,Forest,Unknown,success,stadium_coordinates
Oxford,E1,51.7265293,-1.1998903,0.0,England,Oxford,Unknown,success,stadium_coordinates
Peterboro,E1,52.5695,-0.2405,0.0,England,Peterborough,Unknown,success,city_manual
Plymouth,E1,50.3755,-4.1427,0.0,England,Plymouth,Unknown,success,city_manual
Portsmouth,E1,50.8198,-1.088,0.0,England,Portsmouth,Unknown,success,city_manual
Preston,E1,53.7722148,-2.6885609,0.0,England,Preston,Unknown,success,stadium_coordinates
QPR,E1,51.5074,-0.1278,0.0,England,London,Unknown,success,stadium_coordinates
Reading,E1,51.4223346,-0.9831238,0.0,England,Reading,Unknown,success,stadium_coordinates
Rotherham,E1,53.4267854,-1.362678,0.0,England,Rotherham,Unknown,success,stadium_coordinates
Scunthorpe,E1,53.5825219,-0.6783354,0.0,England,Scunthorpe,Unknown,success,stadium_coordinates
Sheffield United,E1,53.4286674,-1.370864,0.0,England,Sheffield,Unknown,success,stadium_coordinates
Sheffield Weds,E1,53.41138889,-1.500555556,0.0,England,Weds,Unknown,success,stadium_coordinates
Southampton,E1,50.9058615,-1.3908774,0.0,England,Southampton,Unknown,success,stadium_coordinates
Stoke,E1,52.0549518,1.1452848,0.0,England,Stoke,Unknown,success,stadium_coordinates
Sunderland,E1,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown,success,stadium_coordinates
Swansea,E1,51.6428065,-3.934739,0.0,England,Swansea,Unknown,success,stadium_coordinates
Watford,E1,51.6497589,-0.4013489,0.0,England,Watford,Unknown,success,stadium_coordinates
West Brom,E1,52.5181,-1.9945,0.0,England,West Bromwich,Unknown,success,city_manual
