team,league,country,city,status,coord_source,latitude,longitude
Huddersfield,E1,England,Huddersfield,success,stadium_coordinates,53.6543494,-1.7682999
Hull,E1,England,Hull,success,stadium_coordinates,53.7462258,-0.3678239
Ipswich,E1,England,Ipswich,success,stadium_coordinates,52.0549518,1.1452848
Leeds,E1,England,Leeds,success,stadium_coordinates,53.7778612,-1.5721775
Leicester,E1,England,Leicester,success,stadium_coordinates,52.620397,-1.1423352
Luton,E1,England,Luton,success,stadium_coordinates,51.8841259,-0.4316701
Middlesbrough,E1,England,Middlesbrough,success,stadium_coordinates,54.5783134,-1.2169153
Millwall,E1,England,Millwall,success,stadium_coordinates,51.4855805,-0.0513983
Milton Keynes Dons,E1,England,Dons,success,stadium_coordinates,52.0460472,-0.7466835
Newcastle,E1,England,Newcastle,missing,city_manual,54.9783,-1.6178
Norwich,E1,England,Norwich,success,stadium_coordinates,52.6220315,1.3093222
Nott'm Forest,E1,England,Forest,success,stadium_coordinates,52.94,-1.132778
Oxford,E1,England,Oxford,success,stadium_coordinates,51.7265293,-1.1998903
Peterboro,E1,England,Peterborough,missing,city_manual,52.5695,-0.2405
Plymouth,E1,England,Plymouth,missing,city_manual,50.3755,-4.1427
Portsmouth,E1,England,Portsmouth,missing,city_manual,50.8198,-1.088
Preston,E1,England,Preston,success,stadium_coordinates,53.7722148,-2.6885609
QPR,E1,England,London,missing,city_manual,51.5074,-0.1278
Reading,E1,England,Reading,success,stadium_coordinates,51.4223346,-0.9831238
Rotherham,E1,England,Rotherham,success,stadium_coordinates,53.4267854,-1.362678
Scunthorpe,E1,England,Scunthorpe,success,stadium_coordinates,53.5825219,-0.6783354
Sheffield United,E1,England,Sheffield,success,stadium_coordinates,53.4286674,-1.370864
Sheffield Weds,E1,England,Weds,success,stadium_coordinates,53.41138889,-1.500555556
Southampton,E1,England,Southampton,success,stadium_coordinates,50.9058615,-1.3908774
Stoke,E1,England,Stoke,success,stadium_coordinates,52.0549518,1.1452848
Sunderland,E1,England,Sunderland,success,stadium_coordinates,54.9143953,-1.3882579
Swansea,E1,England,Swansea,success,stadium_coordinates,51.6428065,-3.934739
Watford,E1,England,Watford,success,stadium_coordinates,51.6497589,-0.4013489
West Brom,E1,England,West Bromwich,missing,city_manual,52.5181,-1.9945
West Ham,E1,England,London,missing,city_manual,51.5074,-0.1278
Wigan,E1,England,Wigan,success,stadium_coordinates,53.5477333,-2.6540131
Wolves,E1,England,Wolves,success,stadium_coordinates,52.6076564,-2.1494975
Wrexham,E1,England,Wrexham,success,stadium_coordinates,53.0443125,-2.9766849
Wycombe,E1,England,Wycombe,success,stadium_coordinates,51.6304108,-0.8002826
Yeovil,E1,England,Yeovil,success,stadium_coordinates,50.9420451,-2.6318629
AFC Wimbledon,E2,England,Wimbledon,success,stadium_coordinates,51.4315282,-0.1867047
