team_name,league,latitude,longitude,status
Bolton,E3,53.5805396,-2.5356648,success
Bristol Rvs,E3,,,failed
Bromley,E3,51.4191635,-0.0687969,success
Burton,E3,52.8218506,-1.6269256,success
Bury,E3,53.5805538,-2.2949212,success
Cambridge,E3,52.2120297,0.1541831,success
Cheltenham,E3,51.9061781,-2.0602145,success
Chesterfield,E3,53.2535581,-1.4258193,success
Colchester,E3,51.923439,0.8976478,success
Coventry,E3,52.4481581,-1.4970174,success
Crawley Town,E3,51.1191344,-0.191615,success
Crewe,E3,53.087402,-2.4357333,success
Dag and Red,E3,,,failed
Doncaster,E3,53.5890159,-1.0298081,success
Exeter,E3,50.7093752,-3.4675489,success
Fleetwood Town,E3,53.885312,-3.0084092,success
Forest Green,E3,51.6989868,-2.2377653,success
Gillingham,E3,51.3842253,0.5609658,success
Grimsby,E3,53.5702297,-0.0465117,success
Harrogate,E3,53.9662795,-1.4991883,success
Hartlepool,E3,54.6890602,-1.2126565,success
Leyton Orient,E3,51.5599794,-0.013533,success
Luton,E3,51.8841259,-0.4316701,success
Macclesfield,E3,53.2726576,-2.1597453,success
Milton Keynes Dons,E3,52.0460472,-0.7466835,success
Morecambe,E3,54.0614689,-2.8672646,success
Northampton,E3,52.2352633,-0.9335741,success
Notts County,E3,52.9536232,-1.144662,success
Oldham,E3,53.5475003,-2.1438254,success
Oxford,E3,51.7265293,-1.1998903,success
Port Vale,E3,53.0500906,-2.1926292,success
Rochdale,E3,53.6207953,-2.1799129,success
Rotherham,E3,53.4267854,-1.362678,success
Salford,E3,53.4693387,-2.3751921,success
Scunthorpe,E3,53.5825219,-0.6783354,success
Shrewsbury,E3,52.6865188,-2.7485853,success
Southend,E3,51.5490442,0.7015486,success
Stevenage,E3,51.8896479,-0.1937405,success
Stockport,E3,53.3996433,-2.1664844,success
Swindon,E3,51.607755,-1.7924329,success
Tranmere,E3,53.3738916,-3.0317875,success
Walsall,E3,52.5655014,-1.9904976,success
Wrexham,E3,53.0443125,-2.9766849,success
Wycombe,E3,51.6304108,-0.8002826,success
Yeovil,E3,50.9420451,-2.6318629,success
AFC Telford United,EC,52.6973792,-2.5014353,success
AFC Wimbledon,EC,51.4315282,-0.1867047,success
Aldershot,EC,51.2646793,-0.754589,success
Alfreton Town,EC,53.094456,-1.3811612,success
Altrincham,EC,53.3833838,-2.3352283,success
Barnet,EC,51.6033587,-0.2242463,success
Bath City,EC,51.378837,-2.3950494,success
Boreham Wood,EC,51.6620316,-0.2724395,success
Boston Utd,EC,,,failed
Brackley Town,EC,52.0316579,-1.1385272,success
Braintree Town,EC,51.9464939,0.6326725,success
Bristol Rvs,EC,,,failed
Bromley,EC,51.4191635,-0.0687969,success
Cambridge,EC,52.2120297,0.1541831,success
Cheltenham,EC,51.9061781,-2.0602145,success
Chester,EC,53.1892245,-2.923472,success
Chesterfield,EC,53.2535581,-1.4258193,success
Chorley,EC,53.6460264,-2.6294423,success
Crawley Town,EC,51.1191344,-0.191615,success
